iter	Passed	Remaining
603	3461	2269
604	3467	2264
605	3473	2258
606	3478	2252
607	3483	2246
608	3489	2240
609	3494	2234
610	3500	2228
611	3505	2222
612	3510	2216
613	3516	2210
614	3521	2204
615	3527	2198
616	3532	2192
617	3537	2186
618	3543	2180
619	3547	2174
620	3552	2168
621	3558	2162
622	3563	2156
623	3569	2150
624	3574	2144
625	3580	2138
626	3585	2132
627	3590	2126
628	3595	2120
629	3601	2115
630	3606	2108
631	3611	2102
632	3616	2096
633	3621	2090
634	3626	2084
635	3632	2078
636	3636	2072
637	3642	2066
638	3648	2061
639	3653	2054
640	3658	2049
641	3664	2043
642	3668	2037
643	3674	2031
644	3680	2025
645	3685	2019
646	3690	2013
647	3695	2007
648	3700	2001
649	3706	1995
650	3711	1989
651	3716	1983
652	3722	1977
653	3727	1971
654	3732	1966
655	3737	1960
656	3742	1953
657	3747	1947
658	3753	1942
659	3757	1935
660	3763	1930
661	3768	1924
662	3774	1918
663	3779	1912
664	3784	1906
665	3789	1900
666	3795	1894
667	3799	1888
668	3805	1882
669	3810	1876
670	3816	1871
671	3821	1865
672	3826	1859
673	3831	1853
674	3837	1847
675	3842	1841
676	3847	1835
677	3853	1830
678	3858	1823
679	3863	1817
680	3868	1812
681	3873	1806
682	3879	1800
683	3884	1794
684	3890	1788
685	3895	1782
686	3900	1777
687	3905	1770
688	3910	1765
689	3916	1759
690	3921	1753
691	3926	1747
692	3932	1742
693	3937	1736
694	3943	1730
695	3948	1724
696	3953	1718
697	3958	1712
698	3964	1707
699	3970	1701
700	3975	1695
701	3981	1690
702	3985	1683
703	3991	1678
704	3996	1672
705	4001	1666
706	4006	1660
707	4011	1654
708	4016	1648
709	4022	1642
710	4027	1636
711	4032	1631
712	4037	1625
713	4042	1619
714	4047	1613
715	4052	1607
716	4058	1601
717	4063	1596
718	4069	1590
719	4075	1584
720	4082	1579
721	4087	1573
722	4092	1568
723	4098	1562
724	4104	1556
725	4109	1550
726	4114	1545
727	4120	1539
728	4124	1533
729	4130	1527
730	4135	1521
731	4140	1516
732	4146	1510
733	4151	1504
734	4156	1498
735	4162	1492
736	4167	1487
737	4172	1481
738	4178	1475
739	4183	1469
740	4188	1463
741	4193	1458
742	4199	1452
743	4204	1446
744	4210	1441
745	4215	1435
746	4220	1429
747	4226	1423
748	4231	1417
749	4236	1412
750	4242	1406
751	4247	1400
752	4252	1395
753	4257	1389
754	4263	1383
755	4268	1377
756	4273	1371
757	4279	1366
758	4284	1360
759	4290	1354
760	4295	1349
761	4300	1343
762	4306	1337
763	4311	1331
764	4317	1326
765	4322	1320
766	4327	1314
767	4333	1308
768	4338	1303
769	4343	1297
770	4348	1291
771	4353	1285
772	4360	1280
773	4365	1274
774	4370	1268
775	4376	1263
776	4381	1257
777	4386	1251
778	4392	1246
779	4398	1240
780	4403	1234
781	4408	1229
782	4414	1223
783	4420	1217
784	4425	1212
785	4431	1206
786	4436	1200
787	4442	1195
788	4449	1189
789	4455	1184
790	4460	1178
791	4466	1173
792	4472	1167
793	4477	1161
794	4483	1155
795	4488	1150
796	4493	1144
797	4499	1139
798	4505	1133
799	4510	1127
800	4516	1122
801	4522	1116
802	4527	1110
803	4533	1105
804	4539	1099
805	4545	1094
806	4551	1088
807	4558	1083
808	4564	1077
809	4570	1072
810	4576	1066
811	4581	1060
812	4587	1055
813	4592	1049
814	4598	1043
815	4604	1038
816	4609	1032
817	4615	1026
818	4621	1021
819	4627	1015
820	4632	1010
821	4638	1004
822	4644	998
823	4649	993
824	4655	987
825	4661	981
826	4666	976
827	4673	970
828	4678	965
829	4682	959
830	4689	953
831	4695	948
832	4700	942
833	4706	936
